table_name,column_name,description
ActivitySettings,showType,"Enum value controlling when the activity popup appears, either 'always' or 'pipelines'."
ActivitySettings,pipelines,Text field listing which pipeline IDs trigger the activity popup.
ActivitySettings,defaultActivityType,Default activity type string when creating new activities.
ActivitySettings,followUpTime,"String value for default follow-up scheduling, e.g., 'in 3 months'."
ActivitySettings,allowUserDisable,Boolean flag whether individual users can disable the activity popup.
ActivitySettings,showDealWonPopup,Boolean flag whether to show popup when a deal is marked as won.
ActivitySettings,dealWonActivityType,Activity type string for follow-up activities after a deal is won.
ActivitySettings,dealWonFollowUpTime,Follow-up time string for won deal activities.
ActivitySettings,allowUserDisableDealWon,Boolean flag whether users can disable the won-deal popup.
ActivitySettings,createdAt,Timestamp when this record was created.
ActivitySettings,updatedAt,Timestamp when this record was last modified.
ActivityTypes,activityTypeId,Unique numeric identifier for this activity type.
ActivityTypes,name,"Display name of the activity type such as Call, Meeting, or Email."
ActivityTypes,icon,"Icon identifier or path for visual representation of this activity type."
ActivityTypes,isActive,Boolean flag whether this activity type is currently active and selectable.
ActivityTypes,createdAt,Timestamp when this record was created.
ActivityTypes,updatedAt,Timestamp when this record was last modified.
Admins,id,Unique numeric primary key for admin account.
Admins,email,Email address used for admin login and communication.
Admins,password,Hashed password for admin authentication.
Admins,otp,"One-time password value for two-factor authentication, can be NULL."
Admins,otpExpiration,Timestamp when the current OTP expires, can be NULL.
Admins,loginType,String indicating the authentication method used for login.
Admins,createdAt,Timestamp when this admin account was created.
Admins,updatedAt,Timestamp when this admin account was last modified.
Attachments,attachmentID,Unique numeric primary key for the attachment record.
Attachments,emailID,Numeric identifier linking this attachment to a specific email.
Attachments,filename,Original name of the attached file.
Attachments,contentType,"MIME type of the file such as image/png or application/pdf."
Attachments,size,File size in bytes.
Attachments,filePath,Storage path or URL where the file is located.
Attachments,masterUserID,Numeric identifier of the user who owns this attachment.
Attachments,createdAt,Timestamp when this record was created.
Attachments,updatedAt,Timestamp when this record was last modified.
AuditTrails,id,Unique numeric primary key.
AuditTrails,programId,Numeric identifier of the program being audited, can be NULL.
AuditTrails,mode,String indicating the operation mode or context.
AuditTrails,createdBy,String name of the user who created this audit record, can be NULL.
AuditTrails,error_desc,Text description of any error that occurred, can be NULL.
AuditTrails,creatorId,Numeric identifier of the user who created this audit record, can be NULL.
AuditTrails,timestamp,Timestamp of the audited event, can be NULL.
AuditTrails,createdAt,Timestamp when this record was created.
AuditTrails,updatedAt,Timestamp when this record was last modified.
AutomationHistories,historyId,Unique numeric primary key for automation history record.
AutomationHistories,automationId,Numeric identifier of the automation that was executed.
AutomationHistories,status,"Enum value indicating execution status, either 'running', 'success', or 'failed'."
AutomationHistories,failedStep,String name of the step where failure occurred, can be NULL.
AutomationHistories,errorMessage,Text description of the error if execution failed, can be NULL.
AutomationHistories,executionLog,Longtext field containing detailed execution logs.
AutomationHistories,startedAt,Timestamp when automation execution started.
AutomationHistories,completedAt,Timestamp when automation execution completed, can be NULL.
AutomationHistories,createdAt,Timestamp when this record was created.
AutomationHistories,updatedAt,Timestamp when this record was last modified.
Automations,automationId,Unique numeric primary key for automation rule.
Automations,automationData,Longtext field containing the automation configuration and trigger/action definitions.
Automations,isActive,Boolean flag whether this automation is active and should execute.
Automations,createdBy,Numeric identifier of the user who created this automation.
Automations,createdAt,Timestamp when this record was created.
Automations,updatedAt,Timestamp when this record was last modified.
Campaigns,campaignId,Unique numeric primary key for campaign.
Campaigns,campaignName,Name or title of the campaign.
Campaigns,channel,"Communication channel used for the campaign such as email or WhatsApp."
Campaigns,subject,Subject line of the campaign message.
Campaigns,sender,Sender identifier or email address.
Campaigns,emailContent,Numeric identifier referencing the email template used.
Campaigns,messageBody,Text body content of the campaign message.
Campaigns,mediaUrl,URL pointing to media file attached to the campaign, can be NULL.
Campaigns,whatsappTemplateId,Identifier for WhatsApp template if channel is WhatsApp, can be NULL.
Campaigns,entityType,"Type of entity the campaign targets such as lead, deal, or person."
Campaigns,receivers,String specifying recipient list or filter criteria.
Campaigns,sendingTime,Longtext field defining when the campaign should be sent.
Campaigns,Engagement,Longtext field storing engagement metrics, can be NULL.
Campaigns,isActive,Boolean flag whether the campaign is active.
Campaigns,totalReceivers,Numeric count of total intended recipients.
Campaigns,messagesSent,Numeric count of messages successfully sent.
Campaigns,messagesFailed,Numeric count of messages that failed to send.
Campaigns,status,"Current state of the campaign such as draft, active, completed, or paused."
Campaigns,lastProcessedAt,Timestamp when the campaign was last processed, can be NULL.
Campaigns,completedAt,Timestamp when the campaign finished processing, can be NULL.
Campaigns,signatureId,Numeric identifier of the email signature used, can be NULL.
Campaigns,maxEmailsPerHour,Maximum number of emails allowed to send per hour for rate limiting.
Campaigns,maxConcurrentConnections,Maximum number of parallel email sending connections allowed.
Campaigns,maxEmailsPerCampaign,Maximum total emails allowed for this campaign.
Campaigns,filterId,Numeric identifier of the filter used to select recipients, can be NULL.
Campaigns,filterName,Name of the filter used to select recipients, can be NULL.
Campaigns,filterType,Type classification of the filter used.
Campaigns,createdBy,Numeric identifier of the user who created this campaign.
Campaigns,createdAt,Timestamp when this record was created.
Campaigns,updatedAt,Timestamp when this record was last modified.
CampaignSenders,id,Unique numeric primary key.
CampaignSenders,campaignId,Numeric identifier of the campaign this sender is configured for, can be NULL.
CampaignSenders,provider,"Email service provider name such as Gmail, Outlook, or SMTP."
CampaignSenders,email,Email address used as the sender.
CampaignSenders,name,Display name of the sender.
CampaignSenders,companyName,Company name associated with the sender account.
CampaignSenders,address,Street address of the sender or company.
CampaignSenders,city,City of the sender or company.
CampaignSenders,state,"State or province of the sender or company."
CampaignSenders,zipCode,"Postal or zip code of the sender or company."
CampaignSenders,country,Country of the sender or company.
CampaignSenders,appPassword,"Application-specific password or authentication token for the email account."
CampaignSenders,smtpHost,SMTP server hostname for outgoing email, can be NULL.
CampaignSenders,smtpPort,SMTP server port number, can be NULL.
CampaignSenders,smtpSecure,Boolean flag whether to use secure connection for SMTP, can be NULL.
CampaignSenders,replyToMail,Email address where replies should be sent, can be NULL.
CampaignSenders,isVerified,Boolean flag whether the sender account has been verified.
CampaignSenders,verificationToken,Token used for verifying the sender account, can be NULL.
CampaignSenders,verificationTokenExpiry,Timestamp when verification token expires, can be NULL.
CampaignSenders,createdBy,Numeric identifier of the user who created this sender configuration.
CampaignSenders,createdAt,Timestamp when this record was created.
CampaignSenders,updatedAt,Timestamp when this record was last modified.
Cards,cardId,Unique numeric primary key for dashboard card.
Cards,dashboardId,Numeric identifier of the dashboard this card belongs to, can be NULL.
Cards,uniqueId,Numeric unique identifier within the dashboard context.
Cards,type,"Type of card such as chart, metric, or table."
Cards,coordinates,Longtext field storing card position and size on the dashboard, can be NULL.
Cards,ownerId,Numeric identifier of the user who owns this card.
Cards,createdAt,Timestamp when this record was created.
Cards,updatedAt,Timestamp when this record was last modified.
company_settings,companySettingsId,Unique numeric primary key for company settings.
company_settings,companyName,Name of the company, defaults to 'My Company'.
company_settings,companyDomain,Domain name of the company website, can be NULL.
company_settings,preferredMaintenanceTime,Longtext field defining preferred system maintenance window, can be NULL.
company_settings,timezone,Timezone of the company, defaults to 'UTC'.
company_settings,twoFactorMandatory,Boolean flag whether two-factor authentication is mandatory for all users, defaults to 0.
company_settings,twoFactorGracePeriodDays,Number of grace period days before enforcing two-factor authentication, defaults to 7.
company_settings,twoFactorEnforcedAt,Timestamp when two-factor authentication was enforced, can be NULL.
company_settings,createdAt,Timestamp when this record was created.
company_settings,updatedAt,Timestamp when this record was last modified.
ContactChangeLogs,changeLogId,Unique numeric primary key for contact change log.
ContactChangeLogs,syncHistoryId,Numeric identifier of the sync history this change belongs to.
ContactChangeLogs,masterUserID,Numeric identifier of the user who owns this contact.
ContactChangeLogs,personId,Numeric identifier of the CRM person record, can be NULL.
ContactChangeLogs,googleContactId,String identifier of the Google Contact, can be NULL.
ContactChangeLogs,operation,Enum value describing the operation performed.
ContactChangeLogs,changeType,"Enum value indicating type of change: create, update, delete, conflict, skip, or error."
ContactChangeLogs,direction,"Enum value indicating sync direction: google_to_crm, crm_to_google, or bidirectional."
ContactChangeLogs,contactName,Name of the contact being changed, can be NULL.
ContactChangeLogs,contactEmail,Email address of the contact being changed, can be NULL.
ContactChangeLogs,fieldsBefore,Longtext field storing field values before the change, can be NULL.
ContactChangeLogs,fieldsAfter,Longtext field storing field values after the change, can be NULL.
ContactChangeLogs,changedFields,Longtext field listing which fields were changed, can be NULL.
ContactChangeLogs,conflictReason,String explanation of why a conflict occurred, can be NULL.
ContactChangeLogs,conflictResolution,"Enum value indicating resolution strategy used: newest_wins, google_wins, crm_wins, or manual."
ContactChangeLogs,winningSource,"Enum value indicating which source won the conflict: google or crm, can be NULL."
ContactChangeLogs,crmUpdatedAt,Timestamp when the CRM record was last updated, can be NULL.
ContactChangeLogs,googleUpdatedAt,Timestamp when the Google Contact was last updated, can be NULL.
ContactChangeLogs,errorMessage,Text description of any error that occurred, can be NULL.
ContactChangeLogs,errorStack,Text field containing error stack trace, can be NULL.
ContactChangeLogs,metadata,Longtext field storing additional metadata about the sync operation, can be NULL.
ContactChangeLogs,createdAt,Timestamp when this record was created.
ContactChangeLogs,updatedAt,Timestamp when this record was last modified.
ContactSyncConfigs,syncConfigId,Unique numeric primary key for contact sync configuration.
ContactSyncConfigs,masterUserID,Numeric identifier of the user this sync configuration belongs to.
ContactSyncConfigs,provider,"Enum value indicating the contact provider: google, outlook, or office365, defaults to 'google'."
ContactSyncConfigs,syncMode,"Enum value indicating sync mode: google_to_crm, crm_to_google, or bidirectional, defaults to 'bidirectional'."
ContactSyncConfigs,syncDirection,"Enum value indicating sync direction: one_way or two_way, defaults to 'two_way'."
ContactSyncConfigs,isActive,Boolean flag whether this sync configuration is active, defaults to 1.
ContactSyncConfigs,autoSyncEnabled,Boolean flag whether automatic sync is enabled, defaults to 0.
ContactSyncConfigs,syncFrequency,Numeric value indicating sync frequency in minutes, defaults to 60.
ContactSyncConfigs,lastSyncAt,Timestamp when the last sync occurred, can be NULL.
ContactSyncConfigs,nextSyncAt,Timestamp when the next sync is scheduled, can be NULL.
ContactSyncConfigs,googleEmail,Email address of the connected Google account, can be NULL.
ContactSyncConfigs,googleRefreshToken,Text field storing Google OAuth refresh token, can be NULL.
ContactSyncConfigs,googleAccessToken,Text field storing Google OAuth access token, can be NULL.
ContactSyncConfigs,googleTokenExpiry,Timestamp when the Google access token expires, can be NULL.
ContactSyncConfigs,syncGroupFilter,String identifier for filtering contacts by group, can be NULL.
ContactSyncConfigs,conflictResolution,"Enum value for conflict resolution strategy: newest_wins, google_wins, crm_wins, or manual, defaults to 'newest_wins'."
ContactSyncConfigs,deletionHandling,"Enum value for deletion handling: soft_delete, hard_delete, or skip, defaults to 'soft_delete'."
ContactSyncConfigs,fieldMapping,Longtext field storing field mapping configuration between CRM and provider, can be NULL.
ContactSyncConfigs,syncStats,Longtext field storing sync statistics, can be NULL.
ContactSyncConfigs,createdAt,Timestamp when this record was created.
ContactSyncConfigs,updatedAt,Timestamp when this record was last modified.
ContactSyncHistories,syncHistoryId,Unique numeric primary key for sync history record.
ContactSyncHistories,syncConfigId,Numeric identifier of the sync configuration used for this sync.
ContactSyncHistories,masterUserID,Numeric identifier of the user who performed this sync.
ContactSyncHistories,syncType,"Enum value indicating sync trigger: manual, auto, or scheduled, defaults to 'manual'."
ContactSyncHistories,syncDirection,Enum value indicating the direction of this sync.
ContactSyncHistories,status,"Enum value indicating sync status: in_progress, completed, failed, or partial, defaults to 'in_progress'."
ContactSyncHistories,startedAt,Timestamp when the sync started.
ContactSyncHistories,completedAt,Timestamp when the sync completed, can be NULL.
ContactSyncHistories,duration,Numeric duration of the sync in seconds, can be NULL.
ContactSyncHistories,totalContacts,Numeric total number of contacts processed, defaults to 0.
ContactSyncHistories,createdInCRM,Numeric count of contacts created in CRM, defaults to 0.
ContactSyncHistories,updatedInCRM,Numeric count of contacts updated in CRM, defaults to 0.
ContactSyncHistories,deletedInCRM,Numeric count of contacts deleted in CRM, defaults to 0.
ContactSyncHistories,createdInGoogle,Numeric count of contacts created in Google, defaults to 0.
ContactSyncHistories,updatedInGoogle,Numeric count of contacts updated in Google, defaults to 0.
ContactSyncHistories,deletedInGoogle,Numeric count of contacts deleted in Google, defaults to 0.
ContactSyncHistories,skipped,Numeric count of contacts skipped during sync, defaults to 0.
ContactSyncHistories,conflicts,Numeric count of conflicts encountered, defaults to 0.
ContactSyncHistories,errors,Numeric count of errors encountered, defaults to 0.
ContactSyncHistories,errorDetails,Longtext field storing detailed error information, can be NULL.
ContactSyncHistories,summary,Text field storing sync summary, can be NULL.
ContactSyncHistories,detailedLog,Longtext field storing detailed sync log, can be NULL.
ContactSyncHistories,createdAt,Timestamp when this record was created.
ContactSyncHistories,updatedAt,Timestamp when this record was last modified.
ContactSyncMappings,mappingId,Unique numeric primary key for contact sync mapping.
ContactSyncMappings,masterUserID,Numeric identifier of the user who owns this mapping.
ContactSyncMappings,personId,Numeric identifier of the CRM person record.
ContactSyncMappings,googleContactId,String identifier of the Google Contact.
ContactSyncMappings,googleResourceName,String resource name of the Google Contact, can be NULL.
ContactSyncMappings,googleEtag,String ETag value for Google Contact version tracking, can be NULL.
ContactSyncMappings,lastSyncedAt,Timestamp when this contact was last synced, can be NULL.
ContactSyncMappings,crmUpdatedAt,Timestamp when the CRM record was last updated, can be NULL.
ContactSyncMappings,googleUpdatedAt,Timestamp when the Google Contact was last updated, can be NULL.
ContactSyncMappings,syncStatus,"Enum value indicating sync status: synced, pending, conflict, or error, defaults to 'synced'."
ContactSyncMappings,isDeleted,Boolean flag whether this mapping is soft-deleted, defaults to 0.
ContactSyncMappings,deletedAt,Timestamp when this mapping was deleted, can be NULL.
ContactSyncMappings,createdAt,Timestamp when this record was created.
ContactSyncMappings,updatedAt,Timestamp when this record was last modified.
Countries,countryID,Unique numeric primary key for country.
Countries,createdBy,String name of the user who created this record.
Countries,createdById,Numeric identifier of the user who created this record.
Countries,mode,String indicating operation mode context, can be NULL.
Countries,creationDate,Timestamp when this country record was created.
Countries,countryName,Name of the country.
Countries,isoCode,ISO code of the country.
Countries,createdAt,Timestamp when this record was created.
Countries,updatedAt,Timestamp when this record was last modified.
Currencies,currencyId,Unique numeric primary key for currency.
Currencies,currency_desc,Description of the currency.
Currencies,symbol,"Currency symbol such as $, €, or ₹."
Currencies,decimalPoints,Number of decimal places for this currency, defaults to 2.
Currencies,code,"ISO currency code such as USD, EUR, or INR."
Currencies,isActive,Boolean flag whether this currency is active, defaults to 1.
Currencies,isCustom,Boolean flag whether this is a custom currency, defaults to 0.
Currencies,createdBy,String name of the user who created this record.
Currencies,createdById,Numeric identifier of the user who created this record.
Currencies,mode,String indicating operation mode context, can be NULL.
Currencies,creationDate,Timestamp when this currency record was created.
Currencies,createdAt,Timestamp when this record was created.
Currencies,updatedAt,Timestamp when this record was last modified.
CustomFields,fieldId,Unique numeric primary key for custom field definition.
CustomFields,fieldName,Internal name of the custom field.
CustomFields,fieldLabel,Display label of the custom field shown to users.
CustomFields,fieldType,Enum value defining the field data type, defaults to 'text'.
CustomFields,fieldSource,"Enum value indicating field origin: custom, default, or system, defaults to 'custom'."
CustomFields,entityType,"Enum value specifying which entity this field applies to, such as lead, deal, person, organization, or activity."
CustomFields,entityScope,Longtext field defining entity scope restrictions, can be NULL.
CustomFields,options,Longtext field storing selectable options for dropdown fields, can be NULL.
CustomFields,validationRules,Longtext field storing validation rule definitions, can be NULL.
CustomFields,defaultValue,Text field storing default value for this field, can be NULL.
CustomFields,isRequired,Boolean flag whether this field is required, defaults to 0.
CustomFields,isActive,Boolean flag whether this field is active, defaults to 1.
CustomFields,displayOrder,Numeric order for displaying this field relative to others, defaults to 0.
CustomFields,isImportant,Boolean flag whether this field is marked as important, defaults to 0.
CustomFields,category,Category grouping for this field, defaults to 'Ungrouped custom fields'.
CustomFields,fieldGroup,Group name for organizing related fields, can be NULL.
CustomFields,isCollapsible,Boolean flag whether this field group is collapsible in UI, defaults to 1.
CustomFields,isSystemField,Boolean flag whether this is a system field, defaults to 0.
CustomFields,description,Text description of what this field is used for, can be NULL.
CustomFields,masterUserID,Numeric identifier of the user who owns this custom field.
CustomFields,showInAddView,Boolean flag whether to show this field in add/create view, defaults to 0.
CustomFields,showInDetailView,Boolean flag whether to show this field in detail view, defaults to 0.
CustomFields,showInListView,Boolean flag whether to show this field in list view, defaults to 0.
CustomFields,check,Boolean flag for internal use, defaults to 0.
CustomFields,dealCheck,Boolean flag specific to deal entity, defaults to 0.
CustomFields,leadView,Boolean flag whether this field appears in lead view, defaults to 0.
CustomFields,dealView,Boolean flag whether this field appears in deal view, defaults to 0.
CustomFields,placesWhereShown,Longtext field defining where this field is displayed, can be NULL.
CustomFields,userSpecifications,Longtext field storing user-specific specifications, can be NULL.
CustomFields,pipelineRestrictions,Longtext field defining pipeline restrictions for this field, can be NULL.
CustomFields,qualityRules,Longtext field storing quality rule definitions, can be NULL.
CustomFields,sortOrder,Numeric sort order for this field, can be NULL.
CustomFields,createdAt,Timestamp when this record was created, can be NULL.
CustomFields,updatedAt,Timestamp when this record was last modified, can be NULL.
CustomFieldValues,valueId,Unique numeric primary key for custom field value record.
CustomFieldValues,fieldId,Numeric identifier of the custom field this value belongs to.
CustomFieldValues,entityId,Numeric identifier of the entity this value is attached to.
CustomFieldValues,entityType,"Enum value indicating the entity type: lead, deal, person, organization, or activity."
CustomFieldValues,value,Text field storing the actual value of the custom field, can be NULL.
CustomFieldValues,masterUserID,Numeric identifier of the user who owns this custom field value.
CustomFieldValues,createdAt,Timestamp when this record was created, can be NULL.
CustomFieldValues,updatedAt,Timestamp when this record was last modified, can be NULL.
Dashboards,dashboardId,Unique numeric primary key for dashboard.
Dashboards,name,Name or title of the dashboard.
Dashboards,folder,Folder name where the dashboard is stored, can be NULL.
Dashboards,type,Type of dashboard, defaults to 'dashboard'.
Dashboards,parentId,Numeric identifier of parent dashboard, can be NULL.
Dashboards,ownerId,Numeric identifier of the user who owns this dashboard.
Dashboards,coordinates,Longtext field storing dashboard layout coordinates, can be NULL.
Dashboards,createdAt,Timestamp when this record was created.
Dashboards,updatedAt,Timestamp when this record was last modified.
DealColumns,id,Unique numeric primary key.
DealColumns,masterUserID,Numeric user identifier who owns these column preferences, can be NULL.
DealColumns,columns,Longtext field storing column visibility and display order preferences.
DealColumns,createdAt,Timestamp when this record was created.
DealColumns,updatedAt,Timestamp when this record was last modified.
DealDetails,dealDetailsId,Unique numeric primary key for deal detail record.
DealDetails,dealId,Numeric identifier of the deal this detail belongs to.
DealDetails,statusSummary,Brief summary of deal status, can be NULL.
DealDetails,responsiblePerson,Name of the person responsible for this deal, can be NULL.
DealDetails,rfpReceivedDate,Timestamp when RFP was received, can be NULL.
DealDetails,ownerName,Name of the deal owner, can be NULL.
DealDetails,wonTime,Timestamp when the deal was marked as won, can be NULL.
DealDetails,lostTime,Timestamp when the deal was marked as lost, can be NULL.
DealDetails,scopeOfServiceType,Type of service scope for this deal, can be NULL.
DealDetails,countryOfOrganizationCountry,Country of the organization associated with this deal, can be NULL.
DealDetails,lostReason,Reason why the deal was lost, can be NULL.
DealDetails,dealClosedOn,Timestamp when the deal was closed, can be NULL.
DealDetails,nextActivityDate,Timestamp of the next scheduled activity for this deal, can be NULL.
DealDetails,stateAndCountryProjectLocation,"State and country location of the project, can be NULL."
DealDetails,createdAt,Timestamp when this record was created.
DealDetails,updatedAt,Timestamp when this record was last modified.
DealFiles,fileId,Unique numeric primary key for deal file record.
DealFiles,dealId,Numeric identifier of the deal this file belongs to.
DealFiles,fileName,Original name of the file.
DealFiles,fileDisplayName,Display name shown to users for this file, can be NULL.
DealFiles,filePath,Storage path or URL where the file is located.
DealFiles,fileSize,Size of the file in bytes.
DealFiles,mimeType,MIME type of the file.
DealFiles,fileExtension,"File extension such as .pdf or .docx, can be NULL."
DealFiles,fileCategory,"Enum value categorizing the file type, defaults to 'document'."
DealFiles,description,Text description of the file content, can be NULL.
DealFiles,tags,Longtext field storing tags associated with the file, can be NULL.
DealFiles,isPublic,Boolean flag whether the file is publicly accessible, defaults to 0.
DealFiles,uploadedBy,Numeric identifier of the user who uploaded this file.
DealFiles,lastAccessedAt,Timestamp when the file was last accessed, can be NULL.
DealFiles,downloadCount,Numeric count of how many times the file was downloaded, defaults to 0.
DealFiles,version,Numeric version number of this file, defaults to 1.
DealFiles,previousVersionId,Numeric identifier of the previous version of this file, can be NULL.
DealFiles,isActive,Boolean flag whether this file record is active, defaults to 1.
DealFiles,masterUserID,Numeric identifier of the user who owns this file record.
DealFiles,createdAt,Timestamp when this record was created, can be NULL.
DealFiles,updatedAt,Timestamp when this record was last modified, can be NULL.
DealNotes,noteId,Unique numeric primary key for deal note record.
DealNotes,dealId,Numeric identifier of the deal this note belongs to.
DealNotes,content,Text content of the note.
DealNotes,createdBy,Numeric identifier of the user who created this note.
DealNotes,createdAt,Timestamp when this record was created, can be NULL.
DealNotes,updatedAt,Timestamp when this record was last modified, can be NULL.
DealParticipants,participantId,Unique numeric primary key for deal participant record.
DealParticipants,dealId,Numeric identifier of the deal this participant is associated with.
DealParticipants,personId,Numeric identifier of the person participant, can be NULL.
DealParticipants,leadOrganizationId,Numeric identifier of the organization participant, can be NULL.
DealProducts,dealProductId,Unique numeric primary key for deal-product association.
DealProducts,dealId,Numeric identifier of the deal this product is associated with.
DealProducts,productId,Numeric identifier of the product.
DealProducts,variationId,Numeric identifier of the product variation, can be NULL.
DealProducts,quantity,Decimal quantity of the product, defaults to 1.00.
DealProducts,unitPrice,Decimal unit price of the product.
DealProducts,currency,Currency code for pricing, defaults to 'INR'.
DealProducts,discountType,"Enum value indicating discount type: percentage or fixed, can be NULL."
DealProducts,discountValue,Decimal discount value, defaults to 0.00.
DealProducts,discountAmount,Decimal computed discount amount, defaults to 0.00.
DealProducts,taxType,"Enum value indicating tax treatment: tax-exclusive, tax-inclusive, or no-tax, defaults to 'tax-exclusive'."
DealProducts,taxPercentage,Decimal tax percentage, defaults to 0.00.
DealProducts,taxAmount,Decimal computed tax amount, defaults to 0.00.
DealProducts,subtotal,Decimal subtotal before tax and discount, can be NULL.
DealProducts,total,Decimal total amount after all calculations, can be NULL.
DealProducts,billingFrequency,"Enum value for billing frequency: one-time, monthly, quarterly, semi-annually, annually, or custom, defaults to 'one-time'."
DealProducts,billingStartDate,Timestamp when billing starts, can be NULL.
DealProducts,billingEndDate,Timestamp when billing ends, can be NULL.
DealProducts,notes,Text notes about this product line item, can be NULL.
DealProducts,sortOrder,Numeric order of this product within the deal, defaults to 0.
DealProducts,createdAt,Timestamp when this record was created.
DealProducts,updatedAt,Timestamp when this record was last modified.
Deals,dealId,Unique numeric primary key for deal record.
Deals,leadId,Numeric identifier of the associated lead, can be NULL.
Deals,personId,Numeric identifier of the associated person, can be NULL.
Deals,leadOrganizationId,Numeric identifier of the associated organization, can be NULL.
Deals,contactPerson,Name of the contact person for this deal, can be NULL.
Deals,organization,Name of the organization for this deal, can be NULL.
Deals,title,Title or name of the deal.
Deals,value,"Decimal value or amount of the deal, can be NULL."
Deals,currency,Currency code for the deal value, can be NULL.
Deals,pipeline,Name of the pipeline this deal belongs to, can be NULL.
Deals,pipelineStage,Name of the current pipeline stage, can be NULL.
Deals,pipelineId,Numeric identifier of the pipeline, can be NULL.
Deals,stageId,Numeric identifier of the current stage, can be NULL.
Deals,label,"Label or tag associated with the deal, can be NULL."
Deals,expectedCloseDate,Timestamp when the deal is expected to close, can be NULL.
Deals,sourceChannel,Source channel of the deal, can be NULL.
Deals,sourceChannelId,Identifier of the source channel, can be NULL.
Deals,serviceType,Type of service for this deal, can be NULL.
Deals,proposalValue,"Decimal value of the proposal, can be NULL."
Deals,proposalCurrency,Currency code for the proposal value, can be NULL.
Deals,esplProposalNo,Proposal number from ESPL system, can be NULL.
Deals,projectLocation,Location of the project, can be NULL.
Deals,organizationCountry,Country of the organization, can be NULL.
Deals,proposalSentDate,Timestamp when the proposal was sent, can be NULL.
Deals,sourceRequired,Indicator whether source is required, can be NULL.
Deals,questionerShared,Indicator whether questioner was shared, can be NULL.
Deals,sectorialSector,Sector classification of the deal, can be NULL.
Deals,sbuClass,Strategic Business Unit class, can be NULL.
Deals,phone,Phone number associated with the deal, can be NULL.
Deals,email,Email address associated with the deal, can be NULL.
Deals,sourceOrgin,Origin source of the deal, can be NULL.
Deals,masterUserID,Numeric identifier of the user who owns this deal.
Deals,ownerId,Numeric identifier of the deal owner.
Deals,isArchived,Boolean flag whether the deal is archived, defaults to 0.
Deals,status,"Status of the deal such as open, won, or lost, can be NULL."
Deals,source,Source of the deal record, can be NULL.
Deals,productName,Name of the primary product, can be NULL.
Deals,weightedValue,Decimal weighted value based on probability, can be NULL.
Deals,lastStageChange,Timestamp when the stage was last changed, can be NULL.
Deals,nextActivityDate,Timestamp of the next scheduled activity, can be NULL.
Deals,lastActivityDate,Timestamp of the last activity, can be NULL.
Deals,wonTime,Timestamp when the deal was won, can be NULL.
Deals,lastEmailReceived,Timestamp of the last received email, can be NULL.
Deals,lastEmailSent,Timestamp of the last sent email, can be NULL.
Deals,lostTime,Timestamp when the deal was lost, can be NULL.
Deals,dealClosedOn,Timestamp when the deal was closed, can be NULL.
Deals,totalActivities,Numeric count of total activities, defaults to 0.
Deals,doneActivities,Numeric count of completed activities, defaults to 0.
Deals,activitiesToDo,Numeric count of pending activities, defaults to 0.
Deals,emailMessagesCount,Numeric count of email messages, defaults to 0.
Deals,productQuantity,Numeric total quantity of products, can be NULL.
Deals,productAmount,Decimal total amount of products, can be NULL.
Deals,MRR,Decimal Monthly Recurring Revenue, can be NULL.
